,opeidstring,school,pellrecip_2014,pellrecip_2015,pellrecip_2006,pellrecip_2007,pellrecip_2008,pellrecip_2009,pellrecip_2010,pellrecip_2011,pellrecip_2012,pellrecip_2013,pelldisburse_2014,pelldisburse_2015,pelldisburse_2006,pelldisburse_2007,pelldisburse_2008,pelldisburse_2009,pelldisburse_2010,pelldisburse_2011,pelldisburse_2012,pelldisburse_2013,seogrecip_2014,seogdisburse_2014,seogdisburse_2007,seogdisburse_2008,seogdisburse_2009,seogdisburse_2010,seogdisburse_2011,seogdisburse_2012,seogdisburse_2013,seogrecip_2007,seogrecip_2008,seogrecip_2009,seogrecip_2010,seogrecip_2011,seogrecip_2012,seogrecip_2013,teachrecip_2014,teachdisburse_2014,teachrecip_2015,teachdisburse_2015,teachdisburse_2009,teachdisburse_2010,teachdisburse_2011,teachdisburse_2012,teachrecip_2009,teachrecip_2010,teachrecip_2011,teachrecip_2012,iraqrecip_2014,iraqdisburse_2014,iraqrecip_2015,iraqdisburse_2015,workrecip_2014,workdisburse_2014,workdisburse_2007,workdisburse_2008,workdisburse_2009,workdisburse_2010,workdisburse_2011,workdisburse_2012,workdisburse_2013,workrecip_2007,workrecip_2008,workrecip_2009,workrecip_2010,workrecip_2011,workrecip_2012,workrecip_2013,avepell_2014,avepell_2013,avepell_2008,avepell_2009,avepell_2010,avepell_2011,avepell_2012,pellperc_2014,pellperc_2013,pellperc_2008,pellperc_2009,pellperc_2010,pellperc_2011,pellperc_2012,totalpellperc_2009,totalpellperc_2010,totalpellperc_2011,totalpellperc_2012,statelocalaidperc_2014,avestatelocalaid_2014,statelocalaidperc_2013,avestatelocalaid_2013,avestatelocalaid_2006,avestatelocalaid_2007,avestatelocalaid_2008,avestatelocalaid_2009,avestatelocalaid_2010,avestatelocalaid_2011,avestatelocalaid_2012,statelocalaidperc_2006,statelocalaidperc_2007,statelocalaidperc_2008,statelocalaidperc_2009,statelocalaidperc_2010,statelocalaidperc_2011,statelocalaidperc_2012
1990,363800,Texas College,38,53,828,623,643,666,788,811,820,864,81996,96231.71,1921024,1867796,2065670,2319947,3479224,3798611,3509015,3434857,172,359940,326667,300000,300000,313454,324750,321925,333742,146,125,133,157,136,144,174,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,125,173493,163284,190778,200000,219979,208683,211508,199691,138,144,129,144,145,160,148,4740,2446,3011,3791,4337,5113,4225,0.86,0.94,0.86,0.99000001,0.94,0.85,0.97,0.88,0.87,0.84,0.96,0.52,2973,0.86,2634,3300,2800,3066,3514,6388,4293,3003,0.430000007,0.75,0.67,0.819999993,0.51,0.39,0.55
1991,363900,Texas A & M University-Kingsville,415,475,2925,2953,2712,3004,3874,4793,5106,5108,528882.24,580895.56,8034868,8005199,7958674,9488290,15814050,19680123,19908463,19802867,264,442137,458872,415730,336601,400238,393428,381820,479591,332,325,189,234,340,379,347,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,181,408643,467865,565723,409987,438987,375716,386117,400292,377,377,227,203,170,184,175,4669,4794,3139,3502,4526,4721,5071,0.58,0.59,0.48,0.49000001,0.59,0.64,0.63,0.47,0.41,0.56,0.56,0.54,4777,0.48,5931,3721,3892,3961,4630,5351,6133,5583,0.610000014,0.219999999,0.43,0.280000001,0.41,0.5,0.59
1992,363901,Texas A&M University-San Antonio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,364100,Texas Lutheran University,6,3,391,410,448,457,549,577,604,552,9283,3048,1047749,1119172,1288123,1497105,2150086,2372257,2411872,2223088,302,137562,234383,225816,176177,198499,163419,120961,152793,180,233,167,179,268,263,332,NA,NA,0,0,NA,14000,12000,22000,NA,5,4,6,NA,NA,0,0,187,180849,111867,140717,162217,174403,179090,219414,185377,397,442,547,203,206,221,195,4464,3875,3057,3668,4128,4458,4405,0.39,0.41,0.28,0.310000002,0.43,0.49,0.43,0.3,0.37,0.41,0.41,0.51,3152,0.39,3499,3295,3486,3777,3492,3765,3788,3486,0.509999991,0.529999971,0.47,0.560000002,0.62,0.58,0.52
1994,364200,Texas Southern University,213,184,7112,6469,5571,5137,5694,5844,5786,5284,365568.29,308053.51,20258289,18691103,17442557,17697496,24667080,25793067,24073601,21245435,1032,666627,866860,863195,608242,984940,561148,685231,711126,667,771,604,933,610,999,1041,1,1486.5,0,0,76469,79123,111500,83000,26,28,37,26,NA,NA,0,0,264,802470,539928,878260,819050,938141,1142549,575274,778600,179,381,278,398,392,190,306,4642,4549,3706,3764,4647,4702,4620,0.8,0.78,0.74,0.720000029,0.78,0.81,0.79,0.63,0.69,0.73,0.74,0.79,4664,0.7,4210,3395,3127,3183,4501,5145,5789,5479,0.340000004,0.400000006,0.47,0.629999995,0.64,0.61,0.67
1995,364400,Texas Tech University,493,574,4608,4667,5008,5044,6304,7723,8348,8149,662406,856697,11992825,12105752,14087770,16069400,25427358,32287118,32531016,32119365,336,517769,2094543,1785744,1365593,1257004,708311,636140,532513,1752,1935,1522,1648,568,488,299,1,1982,6,11587,22600,76000,155341,178394,7,24,48,56,NA,NA,0,0,448,1395603,1413228,1185679,1260344,1584731,1308034,1506932,1283532,476,472,388,476,446,477,369,4273,4197,2891,3351,4232,4333,4257,0.24,0.24,0.19,0.189999998,0.23,0.26,0.26,0.2,0.24,0.28,0.3,0.27,4706,0.24,4979,4551,3935,4941,4592,4365,5909,3870,0.159999996,0.170000002,0.26,0.230000004,0.25,0.26,0.26
1996,364500,Texas Wesleyan University,4,4,677,680,727,752,879,979,969,853,13356.5,13134,1689730,1775091,1983130,2311128,3299974,3913796,3643004,3174741,282,177034,213016,270995,271223,273406,321209,236992,127297,590,667,621,634,783,743,301,1,1856,0,0,46250,190584,146625,104000,16,62,50,35,NA,NA,0,0,87,189194,201299,165625,271275,512702,395876,630974,479766,123,107,136,177,201,822,202,5552,4797,3423,3191,3955,4536,4000,0.62,0.39,0.24,0.439999998,0.48,0.66,0.76,0.44,0.49,0.55,0.57,0.42,3865,0.06,3324,3237,3664,3135,2972,4154,3857,4002,0.649999976,0.639999986,0.24,0.589999974,0.63,0.68,0.73
1997,364600,Texas Woman's University,41,45,2471,2592,2709,2745,3309,4093,4663,4881,89929.5,107380,6576028,6987647,7659546,8763839,13221279,17443668,17619489,18839719,734,550455,415744,414415,416484,516949,503197,375435,325550,534,530,567,741,691,537,452,1,1856,4,12883,132917,104214,151500,120500,44,38,52,43,NA,NA,0,0,168,397668,363324,347477,286271,413651,466373,341553,399109,245,199,159,214,246,156,202,4700,4502,3206,3827,4281,4539,2368,0.54,0.59,0.39,0.419999987,0.48,0.56,0.61,0.35,0.39,0.42,0.49,0.62,4453,0.6,3809,2497,2041,2699,4336,5135,5279,2406,0.180000007,0.469999999,0.3,0.469999999,0.44,0.41,0.51
1998,364700,Trinity University,1,1,252,201,219,221,288,334,348,367,3495,1990,644425,534276,626685,714376,1036123,1269067,1382970,1516736,291,567000,575797,575798,575798,408904,504118,575797,575797,191,200,177,140,177,232,293,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,302,421646,357553,372201,425688,570518,453064,420637,477378,358,318,349,417,333,315,360,3952,4356,2687,3080,3999,3650,4138,0.14,0.18,0.1,0.079999998,0.14,0.17,0.19,0.09,0.11,0.13,0.14,0.22,3661,0.2,4175,4083,3476,3497,3388,4025,4347,3846,0.209999993,0.159999996,0.16,0.189999998,0.19,0.22,0.23
1999,364800,Tyler Junior College,540,429,3506,3255,3225,3633,4979,5945,6027,5437,755046.28,579014,8394511,8203177,8743633,10779725,18041807,22416828,21213532,19281445,302,214117,156735,134390,135298,140768,149514,179953,174852,190,172,170,175,166,208,217,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,41,53135,15096,32967,30670,35063,46289,90810,74203,30,34,20,37,26,63,72,4786,4679,2979,3720,4785,4857,4626,0.58,0.59,0.27,0.460000008,0.53,0.58,0.59,0.3,0.36,0.41,0.43,0.23,1399,0.16,1187,634,1354,1362,1437,1615,1665,1417,0.159999996,0.119999997,0.14,0.170000002,0.18,0.15,0.15
